review_body,review_title,asin,pp_date,review_rating,review_date,text_clean,title_clean,ml_score,text,ml_topic,review,opinion
perfect for a hit and run. great valie for money,,PLID54544039,13 June 2020,5,2020-06-13,perfect for hit and run great valie for money,,1,perfect for hit and run great valie for money ,[],perfect for a hit and run. great valie for money ,['great valie']
really great buy. difference between capsules can be tasted.,,PLID54544039,16 May 2020,5,2020-05-16,really great buy difference between capsules can be tasted,,1,really great buy difference between capsules can be tasted ,['taste'],really great buy. difference between capsules can be tasted. ,['really great buy']
great value for money. good quality coffee,,PLID54544039,15 May 2020,5,2020-05-15,great value for money good quality coffee,,1,great value for money good quality coffee ,[],great value for money. good quality coffee ,"['good quality coffee', 'great value']"
this is value for money,,PLID54544039,4 May 2020,5,2020-05-04,this is value for money,,1,this is value for money ,[],this is value for money ,[]
great value for money firstly. all pods taste awesome.,,PLID54544039,2 March 2020,5,2020-03-02,great value for money firstly all pods taste awesome,,1,great value for money firstly all pods taste awesome ,[],great value for money firstly. all pods taste awesome. ,['great value']
works perfectly in my machine. not gourmet coffee but nice enough considering the price.,,PLID54544039,24 January 2020,4,2020-01-24,works perfectly in my machine not gourmet coffee but nice enough considering the price,,1,works perfectly in my machine not gourmet coffee but nice enough considering the price ,['taste'],works perfectly in my machine. not gourmet coffee but nice enough considering the price. ,[]
will not buy again it tast like instant coffee,,PLID54544039,8 January 2020,1,2020-01-08,will not buy again it tast like instant coffee,,-1,will not buy again it tast like instant coffee ,['taste'],will not buy again it tast like instant coffee ,[]
"will not buy again, was working in my machine, taste old, flavorless.",,PLID54544039,7 September 2019,1,2019-09-07,will not buy again was working in my machine taste old flavorless,,-1,will not buy again was working in my machine taste old flavorless ,['taste'],"will not buy again, was working in my machine, taste old, flavorless. ",[]
i tried one 5 times on my nespresso and did not want to pierce so that the coffee could come out so i sent it back,,PLID54544039,5 July 2019,1,2019-07-05,tried one times on my nespresso and did not want to pierce so that the coffee could come out so sent it back,,-1,tried one times on my nespresso and did not want to pierce so that the coffee could come out so sent it back ,['delivery'],i tried one 5 times on my nespresso and did not want to pierce so that the coffee could come out so i sent it back ,[]
what a bargain!,,PLID58243680,13 October 2020,5,2020-10-13,what bargain,,1,what bargain ,[],what a bargain! ,[]
didn't like the taste at all. some capsules arrived broken and some were underfilled. wouldn't buy again.,,PLID58243680,30 September 2020,1,2020-09-30,didn like the taste at all some capsules arrived broken and some we are underfilled wouldn buy again,,-1,didn like the taste at all some capsules arrived broken and some we are underfilled wouldn buy again ,"['price', 'taste']",didn't like the taste at all. some capsules arrived broken and some were underfilled. wouldn't buy again. ,[]
i cannot wait when i get up in the morning to taste my first cup of coffee from a caffeluxe coffee capsule: it super delicious and refreshing! there is absolutely no need to look elsewhere for coffee!,,PLID58243680,25 September 2020,4,2020-09-25,cannot wait when get up in the morning to taste my first cup of coffee from caffeluxe coffee capsule it super delicious and refreshing there is absolutely no need to look elsewhere for coffee,,1,cannot wait when get up in the morning to taste my first cup of coffee from caffeluxe coffee capsule it super delicious and refreshing there is absolutely no need to look elsewhere for coffee ,['delivery'],i cannot wait when i get up in the morning to taste my first cup of coffee from a caffeluxe coffee capsule: it super delicious and refreshing! there is absolutely no need to look elsewhere for coffee! ,[]
"the picture doesn't look at all what the actual product looked like.  very watered down and weak.  it's called a speciality pack in the description, but the actual product says ""mixed value pack"". i wouldn't purchase this product ever again.",,PLID58243680,18 September 2020,1,2020-09-18,the picture doesn look at all what the actual product looked like very watered down and weak it called speciality pack in the description but the actual product says mixed value pack wouldn purchase this product ever again,,-1,the picture doesn look at all what the actual product looked like very watered down and weak it called speciality pack in the description but the actual product says mixed value pack wouldn purchase this product ever again ,[],"the picture doesn't look at all what the actual product looked like.  very watered down and weak.  it's called a speciality pack in the description, but the actual product says ""mixed value pack"". i wouldn't purchase this product ever again. ",[]
does not work in my espresto coffee machine!,,PLID58243680,4 August 2020,1,2020-08-04,does not work in my espresto coffee machine,,-1,does not work in my espresto coffee machine ,['taste'],does not work in my espresto coffee machine! ,[]
nice coffee and a good bank for buck alternative.,,PLID58243680,12 July 2020,5,2020-07-12,nice coffee and good bank for buck alternative,,1,nice coffee and good bank for buck alternative ,[],nice coffee and a good bank for buck alternative. ,"['nice coffee', 'good bank']"
"watered down, waste of time and money for a coffee lover",,PLID58243680,2 July 2020,2,2020-07-02,watered down waste of time and money for coffee lover,,1,watered down waste of time and money for coffee lover ,['delivery'],"watered down, waste of time and money for a coffee lover ",[]
great tasting! great value!,,PLID58243680,30 June 2020,5,2020-06-30,great tasting great value,,1,great tasting great value ,[],great tasting! great value! ,"['great tasting', 'great value']"
a great product for a coffee lover. wonderful coffee flavors.,,PLID58243680,29 June 2020,4,2020-06-29,great product for coffee lover wonderful coffee flavors,,1,great product for coffee lover wonderful coffee flavors ,[],a great product for a coffee lover. wonderful coffee flavors. ,"['great product', 'wonderful coffee flavor']"
disappointing - very weak coffee compared nespresso original. this is confusing as it says nespresso but then the packaging says origins. so i really have no idea what it is.,,PLID58243680,29 June 2020,4,2020-06-29,disappointing very weak coffee compared nespresso original this is confusing as it says nespresso but then the packaging says origins so really have no idea what it is,,1,disappointing very weak coffee compared nespresso original this is confusing as it says nespresso but then the packaging says origins so really have no idea what it is ,['delivery'],disappointing - very weak coffee compared nespresso original. this is confusing as it says nespresso but then the packaging says origins. so i really have no idea what it is. ,[]
hi very very nice the blue capsules solid and sticky. have to bang it first before inserting in machine,,PLID58243680,27 June 2020,2,2020-06-27,hi very very nice the blue capsules solid and sticky have to bang it first before inserting in machine,,1,hi very very nice the blue capsules solid and sticky have to bang it first before inserting in machine ,['taste'],hi very very nice the blue capsules solid and sticky. have to bang it first before inserting in machine ,[]
does not always work in nespresso machine. average flavor.,,PLID58243680,25 June 2020,3,2020-06-25,does not always work in nespresso machine average flavor,,1,does not always work in nespresso machine average flavor ,['taste'],does not always work in nespresso machine. average flavor. ,[]
i find all of the flavours in this pack week in flavour. great value.,,PLID58243680,24 June 2020,3,2020-06-24,find all of the flavours in this pack week in flavour great value,,1,find all of the flavours in this pack week in flavour great value ,[],i find all of the flavours in this pack week in flavour. great value. ,['great value']
great product. no pods were damaged. coffee is strong enough +-8 intensity. will by it again for sure! drink at least three a day. great value for money! and there was in fact a 100 pods in the bag.,,PLID58243680,18 June 2020,5,2020-06-18,great product no pods we are damaged coffee is strong enough intensity will by it again for sure drink at least three day great value for money and there was in fact pods in the bag,,1,great product no pods we are damaged coffee is strong enough intensity will by it again for sure drink at least three day great value for money and there was in fact pods in the bag ,[],great product. no pods were damaged. coffee is strong enough +-8 intensity. will by it again for sure! drink at least three a day. great value for money! and there was in fact a 100 pods in the bag. ,"['great product', 'great value']"
great price and delivery,,PLID58243680,15 June 2020,5,2020-06-15,great price and delivery,,1,great price and delivery ,[],great price and delivery ,['great price']
"coffee quality is quite good, and works well with the nespresso machines, but the flavours were not as advertised - i received 2 different types of african blends instead of only one, the french blend and then the brazilian pods, but no italian pods.",,PLID58243680,14 June 2020,3,2020-06-14,coffee quality is quite good and works we will with the nespresso machines but the flavours we are not as advertised received different types of african blends instead of only one the french blend and then the brazilian pods but no italian pods,,1,coffee quality is quite good and works we will with the nespresso machines but the flavours we are not as advertised received different types of african blends instead of only one the french blend and then the brazilian pods but no italian pods ,['taste'],"coffee quality is quite good, and works well with the nespresso machines, but the flavours were not as advertised - i received 2 different types of african blends instead of only one, the french blend and then the brazilian pods, but no italian pods. ",[]
very delicious product and i would recommend it,,PLID58243680,13 June 2020,4,2020-06-13,very delicious product and would recommend it,,1,very delicious product and would recommend it ,[],very delicious product and i would recommend it ,['very delicious product']
"i am very happy with my caffeluxe coffee pods. value for money and rich and creamy coffee.
",,PLID54489195,4 December 2020,5,2020-12-04,am very happy with my caffeluxe coffee pods value for money and rich and creamy coffee,,1,am very happy with my caffeluxe coffee pods value for money and rich and creamy coffee ,[],"i am very happy with my caffeluxe coffee pods. value for money and rich and creamy coffee.
 ",[]
"great , work perfect",,PLID54489195,24 November 2020,5,2020-11-24,great work perfect,,1,great work perfect ,[],"great , work perfect ",[]
good value,,PLID54489195,18 November 2020,5,2020-11-18,good value,,1,good value ,[],good value ,['good value']
"perfect combo, works great with nespresso machines",,PLID54489195,17 November 2020,5,2020-11-17,perfect combo works great with nespresso machines,,1,perfect combo works great with nespresso machines ,['taste'],"perfect combo, works great with nespresso machines ",[]
great quality coffee! always on my shopping list.,,PLID54489195,14 November 2020,5,2020-11-14,great quality coffee always on my shopping list,,1,great quality coffee always on my shopping list ,[],great quality coffee! always on my shopping list. ,['great quality coffee']
works perfectly with nespresso machine. relatively stronger than other pods made by 3rd parties. good flavours. decent value.,,PLID54489195,12 November 2020,5,2020-11-12,works perfectly with nespresso machine relatively stronger than other pods made by rd parties good flavours decent value,,1,works perfectly with nespresso machine relatively stronger than other pods made by rd parties good flavours decent value ,"['allergens', 'delivery', 'taste']",works perfectly with nespresso machine. relatively stronger than other pods made by 3rd parties. good flavours. decent value. ,"['good flavour', 'decent value']"
very nice product and nice to have a variety,,PLID54489195,7 November 2020,5,2020-11-07,very nice product and nice to have variety,,1,very nice product and nice to have variety ,[],very nice product and nice to have a variety ,['very nice product']
"very good quality,  i'm happy",,PLID54489195,4 November 2020,4,2020-11-04,very good quality happy,,1,very good quality happy ,[],"very good quality,  i'm happy ",['very good quality']
good choices.  all great coffee ,,PLID54489195,20 October 2020,5,2020-10-20,good choices all great coffee,,1,good choices all great coffee ,[],good choices.  all great coffee  ,"['great coffee', 'good choice']"
good selection & price.,,PLID54489195,13 October 2020,4,2020-10-13,good selection price,,1,good selection price ,[],good selection & price. ,[]
great tasting coffee! and the price is well worth it.,,PLID54489195,8 October 2020,4,2020-10-08,great tasting coffee and the price is we will worth it,,1,great tasting coffee and the price is we will worth it ,[],great tasting coffee! and the price is well worth it. ,['great tasting coffee']
the product is enjoyable just one issue i am unhappy about is that i purchased 5 boxes of different coffee capsules and four of the boxes had the expiry date scratched out with a black marker so i cannot see the expiry date on the box. only the one box i could view the expiry date which is still fine but otherwise the product is enjoyable.,,PLID54489195,2 August 2020,4,2020-08-02,the product is enjoyable just one issue am unhappy about is that purchased boxes of different coffee capsules and four of the boxes had the expiry date scratched out with black marker so cannot see the expiry date on the box only the one box could view the expiry date which is still fine but otherwise the product is enjoyable,,1,the product is enjoyable just one issue am unhappy about is that purchased boxes of different coffee capsules and four of the boxes had the expiry date scratched out with black marker so cannot see the expiry date on the box only the one box could view the expiry date which is still fine but otherwise the product is enjoyable ,[],the product is enjoyable just one issue i am unhappy about is that i purchased 5 boxes of different coffee capsules and four of the boxes had the expiry date scratched out with a black marker so i cannot see the expiry date on the box. only the one box i could view the expiry date which is still fine but otherwise the product is enjoyable. ,[]
very good product.,,PLID54489195,2 August 2020,5,2020-08-02,very good product,,1,very good product ,[],very good product. ,['very good product']
optimum price very efficient,,PLID54489195,30 July 2020,4,2020-07-30,optimum price very efficient,,1,optimum price very efficient ,[],optimum price very efficient ,[]
excellent flavours of choice per box. better than a lot of known brands. i will certainly order more of caffeluxe. maintain your prices and you will certainly have me as a client,,PLID54489195,29 July 2020,5,2020-07-29,excellent flavours of choice per box better than lot of known brands will certainly order more of caffeluxe maintain your prices and you will certainly have me as client,,1,excellent flavours of choice per box better than lot of known brands will certainly order more of caffeluxe maintain your prices and you will certainly have me as client ,['allergens'],excellent flavours of choice per box. better than a lot of known brands. i will certainly order more of caffeluxe. maintain your prices and you will certainly have me as a client ,['excellent flavour']
lekker coffee,,PLID54489195,27 July 2020,4,2020-07-27,lekker coffee,,1,lekker coffee ,[],lekker coffee ,[]
great value for money.,,PLID54489195,27 July 2020,5,2020-07-27,great value for money,,1,great value for money ,[],great value for money. ,['great value']
very nice coffee at a great price. very happy with my purchase,,PLID54489195,26 July 2020,5,2020-07-26,very nice coffee at great price very happy with my purchase,,1,very nice coffee at great price very happy with my purchase ,[],very nice coffee at a great price. very happy with my purchase ,"['very nice coffee', 'great price']"
value for money. great coffee,,PLID41141718,18 July 2020,4,2020-07-18,value for money great coffee,,1,value for money great coffee ,[],value for money. great coffee ,['great coffee']
very weak,,PLID41141718,18 July 2020,3,2020-07-18,very weak,,1,very weak ,[],very weak ,[]
good value for money,,PLID41141718,15 July 2020,3,2020-07-15,good value for money,,1,good value for money ,[],good value for money ,['good value']
excellent coffee,,PLID41141718,14 July 2020,5,2020-07-14,excellent coffee,,1,excellent coffee ,[],excellent coffee ,['excellent coffee']
really impressed by the quality of these capsules and the taste variety is really enjoyable,,PLID41141718,12 July 2020,5,2020-07-12,really impressed by the quality of these capsules and the taste variety is really enjoyable,,1,really impressed by the quality of these capsules and the taste variety is really enjoyable ,[],really impressed by the quality of these capsules and the taste variety is really enjoyable ,[]
exactly what it shows and says.,,PLID41141718,8 July 2020,5,2020-07-08,exactly what it shows and says,,1,exactly what it shows and says ,[],exactly what it shows and says. ,[]
always decent value for money pods,,PLID41141718,14 June 2020,4,2020-06-14,always decent value for money pods,,1,always decent value for money pods ,[],always decent value for money pods ,['always decent value']
great value for money! tastes great and works amazingly well with caffeluxe duo machine. will be ordering more soon.,,PLID41141718,13 June 2020,5,2020-06-13,great value for money tastes great and works amazingly we will with caffeluxe duo machine will be ordering more soon,,1,great value for money tastes great and works amazingly we will with caffeluxe duo machine will be ordering more soon ,"['price', 'taste']",great value for money! tastes great and works amazingly well with caffeluxe duo machine. will be ordering more soon. ,['great value']
enjoying this coffee & works well with my nespresso machine,,PLID41141718,10 June 2020,5,2020-06-10,enjoying this coffee works we will with my nespresso machine,,1,enjoying this coffee works we will with my nespresso machine ,"['allergens', 'taste']",enjoying this coffee & works well with my nespresso machine ,[]
very well priced and really great flavors.,,PLID41141718,7 June 2020,4,2020-06-07,very we will priced and really great flavors,,1,very we will priced and really great flavors ,[],very well priced and really great flavors. ,[]
excellent. ordered a second time already. great price.,,PLID41141718,5 June 2020,5,2020-06-05,excellent ordered second time already great price,,1,excellent ordered second time already great price ,['delivery'],excellent. ordered a second time already. great price. ,['great price']
good coffee but a shame there aren't more of the stronger variety - too many weak ones for my liking!,,PLID41141718,2 June 2020,3,2020-06-02,good coffee but shame there aren more of the stronger variety too many weak ones for my liking,,1,good coffee but shame there aren more of the stronger variety too many weak ones for my liking ,['allergens'],good coffee but a shame there aren't more of the stronger variety - too many weak ones for my liking! ,['good coffee']
great product for the price.,,PLID41141718,1 June 2020,5,2020-06-01,great product for the price,,1,great product for the price ,[],great product for the price. ,['great product']
delicious coffee,,PLID41141718,31 May 2020,4,2020-05-31,delicious coffee,,1,delicious coffee ,[],delicious coffee ,['delicious coffee']
coffee not tasty,,PLID41141718,28 May 2020,1,2020-05-28,coffee not tasty,,-1,coffee not tasty ,[],coffee not tasty ,[]
mmmm coffee lekker ,,PLID41141718,16 May 2020,4,2020-05-16,mmmm coffee lekker,,1,mmmm coffee lekker ,[],mmmm coffee lekker  ,[]
"not as good as the original, but a good substitute!",,PLID48563870,30 June 2020,4,2020-06-30,not as good as the original but good substitute,,1,not as good as the original but good substitute ,[],"not as good as the original, but a good substitute! ",['good substitute']
"this coffee is a bit bland in my opinion, but it does have a full-bodied taste.",,PLID48563870,30 June 2020,3,2020-06-30,this coffee is bit bland in my opinion but it does have full bodied taste,,1,this coffee is bit bland in my opinion but it does have full bodied taste ,['taste'],"this coffee is a bit bland in my opinion, but it does have a full-bodied taste. ",[]
such good quality product for a good price... the balance is almost perfect,,PLID48563870,21 June 2020,5,2020-06-21,such good quality product for good price the balance is almost perfect,,1,such good quality product for good price the balance is almost perfect ,[],such good quality product for a good price... the balance is almost perfect ,['good price']
one of the best capsules i have tested. coffee is delicious,,PLID48563870,20 June 2020,5,2020-06-20,one of the best capsules have tested coffee is delicious,,1,one of the best capsules have tested coffee is delicious ,[],one of the best capsules i have tested. coffee is delicious ,['good capsule']
"bootleggers describes this coffee as a blend with hints of hazelnut, caramel and subtle touch of dark chocolate. i agree, the flavor of this coffee is perfection. the capsules also fit perfectly, no jams.",,PLID48563870,11 June 2020,5,2020-06-11,bootleggers describes this coffee as blend with hints of hazelnut caramel and subtle touch of dark chocolate agree the flavor of this coffee is perfection the capsules also fit perfectly no jams,,1,bootleggers describes this coffee as blend with hints of hazelnut caramel and subtle touch of dark chocolate agree the flavor of this coffee is perfection the capsules also fit perfectly no jams ,"['packaging', 'taste']","bootleggers describes this coffee as a blend with hints of hazelnut, caramel and subtle touch of dark chocolate. i agree, the flavor of this coffee is perfection. the capsules also fit perfectly, no jams. ",['dark chocolate']
taste greate with a premium look.,,PLID48563870,3 June 2020,5,2020-06-03,taste greate with premium look,,1,taste greate with premium look ,['price'],taste greate with a premium look. ,[]
"when you miss cpt coffee and get these little bad boys! amazing, proper caffeine moment in the morning!",,PLID48563870,15 May 2020,5,2020-05-15,when you miss cpt coffee and get these little bad boys amazing proper caffeine moment in the morning,,1,when you miss cpt coffee and get these little bad boys amazing proper caffeine moment in the morning ,['allergens'],"when you miss cpt coffee and get these little bad boys! amazing, proper caffeine moment in the morning! ",['little bad boy']
these have been a lifesaver - full flavour and good value for money at the discounted price.,,PLID48563870,12 May 2020,5,2020-05-12,these have been lifesaver full flavour and good value for money at the discounted price,,1,these have been lifesaver full flavour and good value for money at the discounted price ,['taste'],these have been a lifesaver - full flavour and good value for money at the discounted price. ,['good value']
excellent product,,PLID48563870,3 May 2020,5,2020-05-03,excellent product,,1,excellent product ,[],excellent product ,['excellent product']
really good value for money. bootlegger coffee is tops and the pods have the soft lids which is compatible with nespresso machine and won't damage your machine,,PLID48563870,10 February 2020,4,2020-02-10,really good value for money bootlegger coffee is tops and the pods have the soft lids which is compatible with nespresso machine and won damage your machine,,1,really good value for money bootlegger coffee is tops and the pods have the soft lids which is compatible with nespresso machine and won damage your machine ,['taste'],really good value for money. bootlegger coffee is tops and the pods have the soft lids which is compatible with nespresso machine and won't damage your machine ,"['soft lid', 'really good value']"
the most amazing coffee. from now on it will be thé coffee i drink. i drank it in cape town at a restaurant. and was ever since looking for a place to buy is. absolutely fabulous,,PLID48563870,9 January 2020,5,2020-01-09,the most amazing coffee from now on it will be th coffee drink drank it in cape town at restaurant and was ever since looking for place to buy is absolutely fabulous,,1,the most amazing coffee from now on it will be th coffee drink drank it in cape town at restaurant and was ever since looking for place to buy is absolutely fabulous ,['taste'],the most amazing coffee. from now on it will be thé coffee i drink. i drank it in cape town at a restaurant. and was ever since looking for a place to buy is. absolutely fabulous ,['most amazing coffee']
great product,,PLID48563870,2 October 2019,5,2019-10-02,great product,,1,great product ,[],great product ,['great product']
we have a guest house and all our guests absolutely love this coffee. great taste.,,PLID48563870,1 October 2019,5,2019-10-01,we have guest house and all our guests absolutely love this coffee great taste,,1,we have guest house and all our guests absolutely love this coffee great taste ,[],we have a guest house and all our guests absolutely love this coffee. great taste. ,['great taste']
good value for money - great for every day nespresso.,,PLID50084565,4 December 2020,4,2020-12-04,good value for money great for every day nespresso,,1,good value for money great for every day nespresso ,[],good value for money - great for every day nespresso. ,['good value']
you get what you pay for. this coffee has no body and is too watery.,,PLID50084565,1 December 2020,2,2020-12-01,you get what you pay for this coffee has no body and is too watery,,1,you get what you pay for this coffee has no body and is too watery ,[],you get what you pay for. this coffee has no body and is too watery. ,[]
no complain!!,,PLID50084565,18 November 2020,4,2020-11-18,no complain,,1,no complain ,[],no complain!! ,[]
bought this based on the other reviews and these did not disappoint. i've tried other alternative capsules and this is by far the best in terms of taste/strength vs value.,,PLID50084565,12 November 2020,5,2020-11-12,bought this based on the other reviews and these did not disappoint ve tried other alternative capsules and this is by far the best in terms of taste strength vs value,,1,bought this based on the other reviews and these did not disappoint ve tried other alternative capsules and this is by far the best in terms of taste strength vs value ,[],bought this based on the other reviews and these did not disappoint. i've tried other alternative capsules and this is by far the best in terms of taste/strength vs value. ,[]
"excellent coffee, work very well on nespresso machine.",,PLID50084565,27 October 2020,5,2020-10-27,excellent coffee work very we will on nespresso machine,,1,excellent coffee work very we will on nespresso machine ,['taste'],"excellent coffee, work very well on nespresso machine. ",['excellent coffee']
very good,,PLID50084565,22 October 2020,4,2020-10-22,very good,,1,very good ,[],very good ,[]
am enjoying this coffee will definitely recommend it,,PLID50084565,15 October 2020,5,2020-10-15,am enjoying this coffee will definitely recommend it,,1,am enjoying this coffee will definitely recommend it ,['allergens'],am enjoying this coffee will definitely recommend it ,[]
good value for money,,PLID50084565,14 October 2020,5,2020-10-14,good value for money,,1,good value for money ,[],good value for money ,['good value']
nice coffee. works greate in my nespresso machine.,,PLID50084565,30 September 2020,4,2020-09-30,nice coffee works greate in my nespresso machine,,1,nice coffee works greate in my nespresso machine ,['taste'],nice coffee. works greate in my nespresso machine. ,['nice coffee']
"it was my first purchase and the coffee is perfect, wish i had options on buying the other flavors or samples",,PLID50084565,25 September 2020,5,2020-09-25,it was my first purchase and the coffee is perfect wish had options on buying the other flavors or samples,,1,it was my first purchase and the coffee is perfect wish had options on buying the other flavors or samples ,[],"it was my first purchase and the coffee is perfect, wish i had options on buying the other flavors or samples ",[]
definitely a good buy. love the coffee taste not too strong,,PLID50084565,19 September 2020,5,2020-09-19,definitely good buy love the coffee taste not too strong,,1,definitely good buy love the coffee taste not too strong ,['taste'],definitely a good buy. love the coffee taste not too strong ,['definitely good buy']
excellent value for money. works perfectly with nespresso machines,,PLID50084565,17 September 2020,5,2020-09-17,excellent value for money works perfectly with nespresso machines,,1,excellent value for money works perfectly with nespresso machines ,['taste'],excellent value for money. works perfectly with nespresso machines ,['excellent value']
this is a great buy- great price and great coffee.,,PLID50084565,15 September 2020,5,2020-09-15,this is great buy great price and great coffee,,1,this is great buy great price and great coffee ,['taste'],this is a great buy- great price and great coffee. ,['great coffee']
great value for money and very enjoyable,,PLID50084565,11 September 2020,5,2020-09-11,great value for money and very enjoyable,,1,great value for money and very enjoyable ,[],great value for money and very enjoyable ,['great value']
these are lovely and certainly value for money,,PLID50084565,9 September 2020,5,2020-09-09,these are lovely and certainly value for money,,1,these are lovely and certainly value for money ,[],these are lovely and certainly value for money ,[]
"good quality. previous review advising some capsules damaged incorrect, this applies to the origins mixed speciality pack",,PLID50084565,7 September 2020,5,2020-09-07,good quality previous review advising some capsules damaged incorrect this applies to the origins mixed speciality pack,,1,good quality previous review advising some capsules damaged incorrect this applies to the origins mixed speciality pack ,[],"good quality. previous review advising some capsules damaged incorrect, this applies to the origins mixed speciality pack ",['good quality']
"great coffee, and a reliable supplier. perfect",,PLID44858549,9 November 2020,5,2020-11-09,great coffee and reliable supplier perfect,,1,great coffee and reliable supplier perfect ,[],"great coffee, and a reliable supplier. perfect ","['great coffee', 'reliable supplier']"
"my husband loves this, just wishes it could be creamier. i would suggest getting this with the creamer/milk capsules.",,PLID44858549,30 August 2020,4,2020-08-30,my husband loves this just wishes it could be creamier would suggest getting this with the creamer milk capsules,,1,my husband loves this just wishes it could be creamier would suggest getting this with the creamer milk capsules ,[],"my husband loves this, just wishes it could be creamier. i would suggest getting this with the creamer/milk capsules. ",[]
lovely and strong pod coffee - the perfect wake up cuppa!,,PLID44858549,16 August 2020,5,2020-08-16,lovely and strong pod coffee the perfect wake up cuppa,,1,lovely and strong pod coffee the perfect wake up cuppa ,[],lovely and strong pod coffee - the perfect wake up cuppa! ,['perfect wake']
strong and powerful coffee taste!,,PLID44858549,15 August 2020,5,2020-08-15,strong and powerful coffee taste,,1,strong and powerful coffee taste ,[],strong and powerful coffee taste! ,[]
great mild taste.,,PLID44858549,27 July 2020,4,2020-07-27,great mild taste,,1,great mild taste ,[],great mild taste. ,['great mild taste']
"i love the kfee coffee, its the best, i just cannot go without it in the mornings..",,PLID44858549,22 July 2020,4,2020-07-22,love the kfee coffee it is the best just cannot go without it in the mornings,,1,love the kfee coffee it is the best just cannot go without it in the mornings ,[],"i love the kfee coffee, its the best, i just cannot go without it in the mornings.. ",[]
love the taste,,PLID44858549,21 July 2020,5,2020-07-21,love the taste,,1,love the taste ,[],love the taste ,[]
lovely flavor,,PLID44858549,16 July 2020,5,2020-07-16,lovely flavor,,1,lovely flavor ,['taste'],lovely flavor ,[]
very nice. just a little bit too strong for my taste.,,PLID44858549,1 July 2020,4,2020-07-01,very nice just little bit too strong for my taste,,1,very nice just little bit too strong for my taste ,['allergens'],very nice. just a little bit too strong for my taste. ,[]
great taste,,PLID44858549,16 May 2020,5,2020-05-16,great taste,,1,great taste ,[],great taste ,['great taste']
love the flavour of the capsules. compatible with my k-fee machine. will buy again!,,PLID44858549,11 May 2020,5,2020-05-11,love the flavour of the capsules compatible with my fee machine will buy again,,1,love the flavour of the capsules compatible with my fee machine will buy again ,['taste'],love the flavour of the capsules. compatible with my k-fee machine. will buy again! ,[]
hits the right spots,,PLID44858549,10 May 2020,4,2020-05-10,hits the right spots,,1,hits the right spots ,[],hits the right spots ,['right spot']
love this,,PLID44858549,15 April 2020,5,2020-04-15,love this,,1,love this ,[],love this ,[]
"great cup of coffee for a capsule. keep in mind! if you have a nespresso or a dolce gusto, these capsules will not fit your machine. its designed for espresto machines. however, you can buy an espresto adapter for a dolce gusto machine, which i did through takealot. then you can use this capsule in your dolce gusto machine. also, these capsules are much better than dolce gusto capsules so i can definitely recommend these capsules.",,PLID44858549,1 April 2020,5,2020-04-01,great cup of coffee for capsule keep in mind if you have nespresso or dolce gusto these capsules will not fit your machine it is designed for espresto machines however you can buy an espresto adapter for dolce gusto machine which did through takealot then you can use this capsule in your dolce gusto machine also these capsules are much better than dolce gusto capsules so can definitely recommend these capsules,,1,great cup of coffee for capsule keep in mind if you have nespresso or dolce gusto these capsules will not fit your machine it is designed for espresto machines however you can buy an espresto adapter for dolce gusto machine which did through takealot then you can use this capsule in your dolce gusto machine also these capsules are much better than dolce gusto capsules so can definitely recommend these capsules ,"['delivery', 'taste']","great cup of coffee for a capsule. keep in mind! if you have a nespresso or a dolce gusto, these capsules will not fit your machine. its designed for espresto machines. however, you can buy an espresto adapter for a dolce gusto machine, which i did through takealot. then you can use this capsule in your dolce gusto machine. also, these capsules are much better than dolce gusto capsules so i can definitely recommend these capsules. ",['great cup']
great substitute!!,,PLID44858549,8 March 2020,4,2020-03-08,great substitute,,1,great substitute ,[],great substitute!! ,['great substitute']
"i love the flavor, it's not too strong. i use it as an espresso but add a small amount of milk to it and it's just perfect.",,PLID44858549,11 February 2020,5,2020-02-11,love the flavor it not too strong use it as an espresso but add small amount of milk to it and it just perfect,,1,love the flavor it not too strong use it as an espresso but add small amount of milk to it and it just perfect ,['taste'],"i love the flavor, it's not too strong. i use it as an espresso but add a small amount of milk to it and it's just perfect. ",[]
the best in the range. excellent.,,PLID44858549,4 February 2020,5,2020-02-04,the best in the range excellent,,1,the best in the range excellent ,[],the best in the range. excellent. ,[]
"says it is compatible with nespresso machines, but does not fit in mine - way to big....",,PLID44858549,7 January 2020,1,2020-01-07,says it is compatible with nespresso machines but does not fit in mine way to big,,-1,says it is compatible with nespresso machines but does not fit in mine way to big ,['taste'],"says it is compatible with nespresso machines, but does not fit in mine - way to big.... ",[]
just the perfect roast and flavor,,PLID44858549,29 December 2019,5,2019-12-29,just the perfect roast and flavor,,1,just the perfect roast and flavor ,['taste'],just the perfect roast and flavor ,['just perfect roast']
"very tasty! great price, might even be better than the nespresso captules",,PLID43684287,1 December 2020,5,2020-12-01,very tasty great price might even be better than the nespresso captules,,1,very tasty great price might even be better than the nespresso captules ,['taste'],"very tasty! great price, might even be better than the nespresso captules ",['great price']
absolutely delicious,,PLID43684287,3 November 2020,5,2020-11-03,absolutely delicious,,1,absolutely delicious ,[],absolutely delicious ,[]
