review_body,review_title,asin,pp_date,review_rating,review_date,product_name,retailer,text_clean,title_clean,review,opinion,ml_score,text,ml_topic
very weak,,PLID41141718,10/12/2020,3,2020-07-18,Nespresso Compatible Coffee 100 Capsules - Bulk Special (No Decaffe),takealot,very weak,,very weak ,[],-1,very weak ,[]
good value for money,,PLID41141718,10/12/2020,3,2020-07-15,Nespresso Compatible Coffee 100 Capsules - Bulk Special (No Decaffe),takealot,good value for money,,good value for money ,['good value'],1,good value for money ,['price']
excellent coffee,,PLID41141718,10/12/2020,5,2020-07-14,Nespresso Compatible Coffee 100 Capsules - Bulk Special (No Decaffe),takealot,excellent coffee,,excellent coffee ,['excellent coffee'],1,excellent coffee ,[]
really impressed by the quality of these capsules and the taste variety is really enjoyable,,PLID41141718,10/12/2020,5,2020-07-12,Nespresso Compatible Coffee 100 Capsules - Bulk Special (No Decaffe),takealot,really impressed by the quality of these capsules and the taste variety is really enjoyable,,really impressed by the quality of these capsules and the taste variety is really enjoyable ,[],1,really impressed by the quality of these capsules and the taste variety is really enjoyable ,['taste']
exactly what it shows and says.,,PLID41141718,10/12/2020,5,2020-07-08,Nespresso Compatible Coffee 100 Capsules - Bulk Special (No Decaffe),takealot,exactly what it shows and says,,exactly what it shows and says. ,[],1,exactly what it shows and says ,['allergens']
always decent value for money pods,,PLID41141718,10/12/2020,4,2020-06-14,Nespresso Compatible Coffee 100 Capsules - Bulk Special (No Decaffe),takealot,always decent value for money pods,,always decent value for money pods ,['always decent value'],1,always decent value for money pods ,['price']
great value for money! tastes great and works amazingly well with caffeluxe duo machine. will be ordering more soon.,,PLID41141718,10/12/2020,5,2020-06-13,Nespresso Compatible Coffee 100 Capsules - Bulk Special (No Decaffe),takealot,great value for money tastes great and works amazingly we will with caffeluxe duo machine will be ordering more soon,,great value for money! tastes great and works amazingly well with caffeluxe duo machine. will be ordering more soon. ,['great value'],1,great value for money tastes great and works amazingly we will with caffeluxe duo machine will be ordering more soon ,"['delivery', 'price', 'taste']"
enjoying this coffee & works well with my nespresso machine,,PLID41141718,10/12/2020,5,2020-06-10,Nespresso Compatible Coffee 100 Capsules - Bulk Special (No Decaffe),takealot,enjoying this coffee works we will with my nespresso machine,,enjoying this coffee & works well with my nespresso machine ,[],1,enjoying this coffee works we will with my nespresso machine ,[]
very well priced and really great flavors.,,PLID41141718,10/12/2020,4,2020-06-07,Nespresso Compatible Coffee 100 Capsules - Bulk Special (No Decaffe),takealot,very we will priced and really great flavors,,very well priced and really great flavors. ,[],1,very we will priced and really great flavors ,"['price', 'taste']"
excellent. ordered a second time already. great price.,,PLID41141718,10/12/2020,5,2020-06-05,Nespresso Compatible Coffee 100 Capsules - Bulk Special (No Decaffe),takealot,excellent ordered second time already great price,,excellent. ordered a second time already. great price. ,['great price'],1,excellent ordered second time already great price ,"['delivery', 'price']"
good coffee but a shame there aren't more of the stronger variety - too many weak ones for my liking!,,PLID41141718,10/12/2020,3,2020-06-02,Nespresso Compatible Coffee 100 Capsules - Bulk Special (No Decaffe),takealot,good coffee but shame there are not more of the stronger variety too many weak ones for my liking,,good coffee but a shame there aren't more of the stronger variety - too many weak ones for my liking! ,['good coffee'],-1,good coffee but shame there are not more of the stronger variety too many weak ones for my liking ,[]
great product for the price.,,PLID41141718,10/12/2020,5,2020-06-01,Nespresso Compatible Coffee 100 Capsules - Bulk Special (No Decaffe),takealot,great product for the price,,great product for the price. ,['great product'],1,great product for the price ,['price']
delicious coffee,,PLID41141718,10/12/2020,4,2020-05-31,Nespresso Compatible Coffee 100 Capsules - Bulk Special (No Decaffe),takealot,delicious coffee,,delicious coffee ,['delicious coffee'],1,delicious coffee ,['taste']
coffee not tasty,,PLID41141718,10/12/2020,1,2020-05-28,Nespresso Compatible Coffee 100 Capsules - Bulk Special (No Decaffe),takealot,coffee not tasty,,coffee not tasty ,[],-1,coffee not tasty ,['taste']
mmmm coffee lekker ,,PLID41141718,10/12/2020,4,2020-05-16,Nespresso Compatible Coffee 100 Capsules - Bulk Special (No Decaffe),takealot,mmmm coffee lekker,,mmmm coffee lekker  ,[],-1,mmmm coffee lekker ,[]
good for the price,,PLID41141718,10/12/2020,4,2020-05-11,Nespresso Compatible Coffee 100 Capsules - Bulk Special (No Decaffe),takealot,good for the price,,good for the price ,[],1,good for the price ,['price']
purple pods we awesome - not fond of the blue or yellow!,,PLID41141718,10/12/2020,3,2020-05-11,Nespresso Compatible Coffee 100 Capsules - Bulk Special (No Decaffe),takealot,purple pods we awesome not fond of the blue or yellow,,purple pods we awesome - not fond of the blue or yellow! ,[],1,purple pods we awesome not fond of the blue or yellow ,[]
just love this product. taste nice.,,PLID41141718,10/12/2020,5,2020-05-04,Nespresso Compatible Coffee 100 Capsules - Bulk Special (No Decaffe),takealot,just love this product taste nice,,just love this product. taste nice. ,[],1,just love this product taste nice ,['taste']
"good selection, good price. had a few pods where the foil had torn up and caused the ground coffee to clog the machine, quick fix. either way a good selection at a decent price",,PLID41141718,10/12/2020,4,2020-04-28,Nespresso Compatible Coffee 100 Capsules - Bulk Special (No Decaffe),takealot,good selection good price had few pods where the foil had torn up and caused the ground coffee to clog the machine quick fix either way good selection at decent price,,"good selection, good price. had a few pods where the foil had torn up and caused the ground coffee to clog the machine, quick fix. either way a good selection at a decent price ","['decent price', 'good price', 'good selection']",1,good selection good price had few pods where the foil had torn up and caused the ground coffee to clog the machine quick fix either way good selection at decent price ,"['allergens', 'price']"
"these are great. by far the best non nespresso, nespresso compatible pods. in fact this starbucks range (actually made by nespresso) tastes better than the stuff nespresso make for themselves.",,PLID55963025,10/12/2020,5,2020-11-17,STARBUCKS PIKE PLACE Roast by NESPRESSO Medium Roast Coffee,takealot,these are great by far the best non nespresso nespresso compatible pods in fact this starbucks range actually made by nespresso tastes better than the stuff nespresso make for themselves,,"these are great. by far the best non nespresso, nespresso compatible pods. in fact this starbucks range (actually made by nespresso) tastes better than the stuff nespresso make for themselves. ",[],1,these are great by far the best non nespresso nespresso compatible pods in fact this starbucks range actually made by nespresso tastes better than the stuff nespresso make for themselves ,"['allergens', 'taste']"
what a nice coffee,,PLID55963025,10/12/2020,5,2020-10-07,STARBUCKS PIKE PLACE Roast by NESPRESSO Medium Roast Coffee,takealot,what nice coffee,,what a nice coffee ,['nice coffee'],1,what nice coffee ,[]
not very nice. ,,PLID55963025,10/12/2020,3,2020-10-06,STARBUCKS PIKE PLACE Roast by NESPRESSO Medium Roast Coffee,takealot,not very nice,,not very nice.  ,[],-1,not very nice ,[]
good,,PLID55963025,10/12/2020,4,2020-10-02,STARBUCKS PIKE PLACE Roast by NESPRESSO Medium Roast Coffee,takealot,good,,good ,[],1,good ,[]
excellent taste,,PLID55963025,10/12/2020,5,2020-09-29,STARBUCKS PIKE PLACE Roast by NESPRESSO Medium Roast Coffee,takealot,excellent taste,,excellent taste ,['excellent taste'],1,excellent taste ,['taste']
great product,,PLID55963025,10/12/2020,5,2020-09-10,STARBUCKS PIKE PLACE Roast by NESPRESSO Medium Roast Coffee,takealot,great product,,great product ,['great product'],1,great product ,[]
delicious as always!,,PLID55963025,10/12/2020,5,2020-08-27,STARBUCKS PIKE PLACE Roast by NESPRESSO Medium Roast Coffee,takealot,delicious as always,,delicious as always! ,[],1,delicious as always ,['taste']
love this.,,PLID55963025,10/12/2020,5,2020-08-24,STARBUCKS PIKE PLACE Roast by NESPRESSO Medium Roast Coffee,takealot,love this,,love this. ,[],1,love this ,[]
not my typical selection but i thought i'd take a chance. it's a decent medium intensity coffee with a decent quality. it could be a top 5 contender for my palate.,,PLID55963025,10/12/2020,4,2020-08-05,STARBUCKS PIKE PLACE Roast by NESPRESSO Medium Roast Coffee,takealot,not my typical selection but thought would take chance it is decent medium intensity coffee with decent quality it could be top contender for my palate,,not my typical selection but i thought i'd take a chance. it's a decent medium intensity coffee with a decent quality. it could be a top 5 contender for my palate. ,['decent quality'],-1,not my typical selection but thought would take chance it is decent medium intensity coffee with decent quality it could be top contender for my palate ,['competition']
always great pods! so glad i could get them from takealot!,,PLID55963025,10/12/2020,4,2020-08-03,STARBUCKS PIKE PLACE Roast by NESPRESSO Medium Roast Coffee,takealot,always great pods so glad could get them from takealot,,always great pods! so glad i could get them from takealot! ,['always great pod'],1,always great pods so glad could get them from takealot ,[]
love this coffee,,PLID55963025,10/12/2020,5,2020-07-21,STARBUCKS PIKE PLACE Roast by NESPRESSO Medium Roast Coffee,takealot,love this coffee,,love this coffee ,[],1,love this coffee ,[]
great for a change. can definitely taste that it's the starbucks taste.,,PLID55963025,10/12/2020,4,2020-06-28,STARBUCKS PIKE PLACE Roast by NESPRESSO Medium Roast Coffee,takealot,great for change can definitely taste that it is the starbucks taste,,great for a change. can definitely taste that it's the starbucks taste. ,[],1,great for change can definitely taste that it is the starbucks taste ,['taste']
very nice,,PLID55963025,10/12/2020,5,2020-06-08,STARBUCKS PIKE PLACE Roast by NESPRESSO Medium Roast Coffee,takealot,very nice,,very nice ,[],1,very nice ,[]
"don't expect a coffee as good as you get in a starbucks, in saying that i didn't. have to say that nespresso is still my favourite pod but this is a good alternative. also a lungo. slightly more bitter but a good alternative if you can't get nespresso.",,PLID55963025,10/12/2020,4,2020-06-03,STARBUCKS PIKE PLACE Roast by NESPRESSO Medium Roast Coffee,takealot,do not expect coffee as good as you get in starbucks in saying that did not have to say that nespresso is still my favourite pod but this is good alternative also lungo slightly more bitter but good alternative if you cannot get nespresso,,"don't expect a coffee as good as you get in a starbucks, in saying that i didn't. have to say that nespresso is still my favourite pod but this is a good alternative. also a lungo. slightly more bitter but a good alternative if you can't get nespresso. ",['good alternative'],1,do not expect coffee as good as you get in starbucks in saying that did not have to say that nespresso is still my favourite pod but this is good alternative also lungo slightly more bitter but good alternative if you cannot get nespresso ,[]
horrid coffee - probably the worst i have tasted! it has a cigarette aftertaste and tastes rather stale. perhaps its just this flavour but i wouldnt try more starbucks.,,PLID55963025,10/12/2020,1,2020-06-02,STARBUCKS PIKE PLACE Roast by NESPRESSO Medium Roast Coffee,takealot,horrid coffee probably the worst have tasted it has cigarette aftertaste and tastes rather stale perhaps it is just this flavour but would not try more starbucks,,horrid coffee - probably the worst i have tasted! it has a cigarette aftertaste and tastes rather stale. perhaps its just this flavour but i wouldnt try more starbucks. ,[],-1,horrid coffee probably the worst have tasted it has cigarette aftertaste and tastes rather stale perhaps it is just this flavour but would not try more starbucks ,['taste']
love pike place,,PLID55963025,10/12/2020,5,2020-06-01,STARBUCKS PIKE PLACE Roast by NESPRESSO Medium Roast Coffee,takealot,love pike place,,love pike place ,[],1,love pike place ,[]
good value for money,,PLID54544039,10/12/2020,4,2020-10-22,100 Capsules Mixed Value Pack Nespresso Compatible,takealot,good value for money,,good value for money ,['good value'],1,good value for money ,['price']
good favour and price,,PLID54544039,10/12/2020,4,2020-10-20,100 Capsules Mixed Value Pack Nespresso Compatible,takealot,good favour and price,,good favour and price ,['good favour'],1,good favour and price ,['price']
excellent value for money!,,PLID54544039,10/12/2020,5,2020-07-20,100 Capsules Mixed Value Pack Nespresso Compatible,takealot,excellent value for money,,excellent value for money! ,['excellent value'],1,excellent value for money ,['price']
"for the price it is not bad, will not purchase it again. normal coffee tastes better than these. total waste of money",,PLID54544039,10/12/2020,2,2020-07-13,100 Capsules Mixed Value Pack Nespresso Compatible,takealot,for the price it is not bad will not purchase it again normal coffee tastes better than these total waste of money,,"for the price it is not bad, will not purchase it again. normal coffee tastes better than these. total waste of money ",['total waste'],-1,for the price it is not bad will not purchase it again normal coffee tastes better than these total waste of money ,"['price', 'taste']"
i just love coffee. this is a great pack to give you a taste of the different strengths. you can start with the strongest first thing in the morning and then work your way through the colour during the day :),,PLID54544039,10/12/2020,5,2020-07-10,100 Capsules Mixed Value Pack Nespresso Compatible,takealot,just love coffee this is great pack to give you taste of the different strengths you can start with the strongest first thing in the morning and then work your way through the colour during the day,,i just love coffee. this is a great pack to give you a taste of the different strengths. you can start with the strongest first thing in the morning and then work your way through the colour during the day :) ,"['strong first thing', 'great pack']",1,just love coffee this is great pack to give you taste of the different strengths you can start with the strongest first thing in the morning and then work your way through the colour during the day ,"['packaging', 'taste']"
very good variety of flavors,,PLID54544039,10/12/2020,5,2020-07-07,100 Capsules Mixed Value Pack Nespresso Compatible,takealot,very good variety of flavors,,very good variety of flavors ,['very good variety'],1,very good variety of flavors ,['taste']
tastes great,,PLID54544039,10/12/2020,4,2020-07-02,100 Capsules Mixed Value Pack Nespresso Compatible,takealot,tastes great,,tastes great ,[],1,tastes great ,['taste']
these capsules have a wonderful variety in flavour and they are taste good!,,PLID54544039,10/12/2020,5,2020-06-23,100 Capsules Mixed Value Pack Nespresso Compatible,takealot,these capsules have wonderful variety in flavour and they are taste good,,these capsules have a wonderful variety in flavour and they are taste good! ,['wonderful variety'],1,these capsules have wonderful variety in flavour and they are taste good ,['taste']
excellent product. great value for money and all flavors are delicious. strongly recommend.,,PLID54544039,10/12/2020,5,2020-06-17,100 Capsules Mixed Value Pack Nespresso Compatible,takealot,excellent product great value for money and all flavors are delicious strongly recommend,,excellent product. great value for money and all flavors are delicious. strongly recommend. ,"['excellent product', 'great value']",1,excellent product great value for money and all flavors are delicious strongly recommend ,"['price', 'taste']"
perfect for a hit and run. great valie for money,,PLID54544039,10/12/2020,5,2020-06-13,100 Capsules Mixed Value Pack Nespresso Compatible,takealot,perfect for hit and run great valie for money,,perfect for a hit and run. great valie for money ,['great valie'],1,perfect for hit and run great valie for money ,['price']
really great buy. difference between capsules can be tasted.,,PLID54544039,10/12/2020,5,2020-05-16,100 Capsules Mixed Value Pack Nespresso Compatible,takealot,really great buy difference between capsules can be tasted,,really great buy. difference between capsules can be tasted. ,['really great buy'],1,really great buy difference between capsules can be tasted ,['taste']
great value for money. good quality coffee,,PLID54544039,10/12/2020,5,2020-05-15,100 Capsules Mixed Value Pack Nespresso Compatible,takealot,great value for money good quality coffee,,great value for money. good quality coffee ,"['great value', 'good quality coffee']",1,great value for money good quality coffee ,['price']
this is value for money,,PLID54544039,10/12/2020,5,2020-05-04,100 Capsules Mixed Value Pack Nespresso Compatible,takealot,this is value for money,,this is value for money ,[],1,this is value for money ,['price']
great value for money firstly. all pods taste awesome.,,PLID54544039,10/12/2020,5,2020-03-02,100 Capsules Mixed Value Pack Nespresso Compatible,takealot,great value for money firstly all pods taste awesome,,great value for money firstly. all pods taste awesome. ,['great value'],1,great value for money firstly all pods taste awesome ,"['price', 'taste']"
works perfectly in my machine. not gourmet coffee but nice enough considering the price.,,PLID54544039,10/12/2020,4,2020-01-24,100 Capsules Mixed Value Pack Nespresso Compatible,takealot,works perfectly in my machine not gourmet coffee but nice enough considering the price,,works perfectly in my machine. not gourmet coffee but nice enough considering the price. ,[],1,works perfectly in my machine not gourmet coffee but nice enough considering the price ,['price']
will not buy again it tast like instant coffee,,PLID54544039,10/12/2020,1,2020-01-08,100 Capsules Mixed Value Pack Nespresso Compatible,takealot,will not buy again it tast like instant coffee,,will not buy again it tast like instant coffee ,[],-1,will not buy again it tast like instant coffee ,['taste']
"will not buy again, was working in my machine, taste old, flavorless.",,PLID54544039,10/12/2020,1,2019-09-07,100 Capsules Mixed Value Pack Nespresso Compatible,takealot,will not buy again was working in my machine taste old flavorless,,"will not buy again, was working in my machine, taste old, flavorless. ",[],-1,will not buy again was working in my machine taste old flavorless ,['taste']
i tried one 5 times on my nespresso and did not want to pierce so that the coffee could come out so i sent it back,,PLID54544039,10/12/2020,1,2019-07-05,100 Capsules Mixed Value Pack Nespresso Compatible,takealot,tried one times on my nespresso and did not want to pierce so that the coffee could come out so sent it back,,i tried one 5 times on my nespresso and did not want to pierce so that the coffee could come out so i sent it back ,[],-1,tried one times on my nespresso and did not want to pierce so that the coffee could come out so sent it back ,['delivery']
great taste,,PLID44858548,10/12/2020,5,2020-11-27,Espresto - Furioso Espresso Capsules,takealot,great taste,,great taste ,['great taste'],1,great taste ,['taste']
"the best coffee ever. strongf, smooth and aromatic.",,PLID44858548,10/12/2020,5,2020-11-12,Espresto - Furioso Espresso Capsules,takealot,the best coffee ever strongf smooth and aromatic,,"the best coffee ever. strongf, smooth and aromatic. ",['good coffee'],1,the best coffee ever strongf smooth and aromatic ,['taste']
"great blend, quite strong",,PLID44858548,10/12/2020,5,2020-11-10,Espresto - Furioso Espresso Capsules,takealot,great blend quite strong,,"great blend, quite strong ",['great blend'],1,great blend quite strong ,[]
a good strong coffee that is consiostent every time. most enjoyable and priced competively.,,PLID44858548,10/12/2020,4,2020-09-18,Espresto - Furioso Espresso Capsules,takealot,good strong coffee that is consiostent every time most enjoyable and priced competively,,a good strong coffee that is consiostent every time. most enjoyable and priced competively. ,['good strong coffee'],1,good strong coffee that is consiostent every time most enjoyable and priced competively ,"['delivery', 'price']"
best coffee in a pod on the market,,PLID44858548,10/12/2020,5,2020-09-15,Espresto - Furioso Espresso Capsules,takealot,best coffee in pod on the market,,best coffee in a pod on the market ,['good coffee'],1,best coffee in pod on the market ,['competition']
a good strong blend just as i like it. also i can use my dolce gusto machine due to additional lack of stock of their own products with the adapt or for smaller capsules,,PLID44858548,10/12/2020,5,2020-08-02,Espresto - Furioso Espresso Capsules,takealot,good strong blend just as like it also can use my dolce gusto machine due to additional lack of stock of their own products with the adapt or for smaller capsules,,a good strong blend just as i like it. also i can use my dolce gusto machine due to additional lack of stock of their own products with the adapt or for smaller capsules ,"['additional lack', 'good strong blend']",1,good strong blend just as like it also can use my dolce gusto machine due to additional lack of stock of their own products with the adapt or for smaller capsules ,['price']
best price great coffee,,PLID44858548,10/12/2020,5,2020-07-27,Espresto - Furioso Espresso Capsules,takealot,best price great coffee,,best price great coffee ,['good price great coffee'],1,best price great coffee ,['price']
rich and creamy. excellent taste,,PLID44858548,10/12/2020,5,2020-07-01,Espresto - Furioso Espresso Capsules,takealot,rich and creamy excellent taste,,rich and creamy. excellent taste ,['excellent taste'],1,rich and creamy excellent taste ,['taste']
the furioso is the best of the range if you enjoy a strong robust cup of coffee. ,,PLID44858548,10/12/2020,5,2020-06-27,Espresto - Furioso Espresso Capsules,takealot,the furioso is the best of the range if you enjoy strong robust cup of coffee,,the furioso is the best of the range if you enjoy a strong robust cup of coffee.  ,['strong robust cup'],1,the furioso is the best of the range if you enjoy strong robust cup of coffee ,[]
"thought it will fit into a nespresso machine, but did not. i have not tried it since i have no use for it.",,PLID44858548,10/12/2020,2,2020-06-03,Espresto - Furioso Espresso Capsules,takealot,thought it will fit into nespresso machine but did not have not tried it since have no use for it,,"thought it will fit into a nespresso machine, but did not. i have not tried it since i have no use for it. ",[],-1,thought it will fit into nespresso machine but did not have not tried it since have no use for it ,[]
the best coffee ever,,PLID44858548,10/12/2020,5,2020-05-12,Espresto - Furioso Espresso Capsules,takealot,the best coffee ever,,the best coffee ever ,['good coffee'],1,the best coffee ever ,[]
perfect,,PLID44858548,10/12/2020,5,2020-05-06,Espresto - Furioso Espresso Capsules,takealot,perfect,,perfect ,[],1,perfect ,[]
awesome love this product,,PLID44858548,10/12/2020,5,2020-04-15,Espresto - Furioso Espresso Capsules,takealot,awesome love this product,,awesome love this product ,['awesome love'],1,awesome love this product ,[]
90%,,PLID44858548,10/12/2020,4,2020-04-14,Espresto - Furioso Espresso Capsules,takealot,,,90% ,[],1, ,[]
smooth great tasting coffee.,,PLID44858548,10/12/2020,4,2020-04-07,Espresto - Furioso Espresso Capsules,takealot,smooth great tasting coffee,,smooth great tasting coffee. ,[],1,smooth great tasting coffee ,['taste']
great coffee,,PLID44858548,10/12/2020,5,2020-02-23,Espresto - Furioso Espresso Capsules,takealot,great coffee,,great coffee ,['great coffee'],1,great coffee ,[]
great!,,PLID44858548,10/12/2020,5,2020-02-15,Espresto - Furioso Espresso Capsules,takealot,great,,great! ,[],1,great ,[]
excellent ,,PLID44858548,10/12/2020,5,2020-02-08,Espresto - Furioso Espresso Capsules,takealot,excellent,,excellent  ,[],1,excellent ,[]
love this coffee.. nice and strong,,PLID44858548,10/12/2020,4,2020-01-14,Espresto - Furioso Espresso Capsules,takealot,love this coffee nice and strong,,love this coffee.. nice and strong ,[],1,love this coffee nice and strong ,[]
amazing coffee,,PLID44858548,10/12/2020,5,2019-12-27,Espresto - Furioso Espresso Capsules,takealot,amazing coffee,,amazing coffee ,['amazing coffee'],1,amazing coffee ,[]
these are great and deserves more than 3 stars!,,PLID44858548,10/12/2020,5,2019-10-25,Espresto - Furioso Espresso Capsules,takealot,these are great and deserves more than stars,,these are great and deserves more than 3 stars! ,[],-1,these are great and deserves more than stars ,[]
great little adapter that works perfect in the dolce gusto machine.,,PLID47901925,10/12/2020,4,2020-07-15,Espresto - Dolce Gusto Adapter Starter Pack,takealot,great little adapter that works perfect in the dolce gusto machine,,great little adapter that works perfect in the dolce gusto machine. ,['great little adapter'],1,great little adapter that works perfect in the dolce gusto machine ,[]
fatastic. works well. good quality.,,PLID47901925,10/12/2020,4,2020-07-13,Espresto - Dolce Gusto Adapter Starter Pack,takealot,fatastic works we will good quality,,fatastic. works well. good quality. ,['good quality'],1,fatastic works we will good quality ,['taste']
did not work,,PLID47901925,10/12/2020,1,2020-06-30,Espresto - Dolce Gusto Adapter Starter Pack,takealot,did not work,,did not work ,[],-1,did not work ,[]
works perfectly for espresto pods!! was hoping nespresso would fit as well but unfortunately not.,,PLID47901925,10/12/2020,4,2020-06-24,Espresto - Dolce Gusto Adapter Starter Pack,takealot,works perfectly for espresto pods was hoping nespresso would fit as we will but unfortunately not,,works perfectly for espresto pods!! was hoping nespresso would fit as well but unfortunately not. ,[],1,works perfectly for espresto pods was hoping nespresso would fit as we will but unfortunately not ,[]
the adaptor fits nicely into the slot but the actual pods doesnt fit so nicely,,PLID47901925,10/12/2020,3,2020-06-24,Espresto - Dolce Gusto Adapter Starter Pack,takealot,the adaptor fits nicely into the slot but the actual pods does not fit so nicely,,the adaptor fits nicely into the slot but the actual pods doesnt fit so nicely ,[],1,the adaptor fits nicely into the slot but the actual pods does not fit so nicely ,['allergens']
good quality product,,PLID47901925,10/12/2020,4,2020-06-23,Espresto - Dolce Gusto Adapter Starter Pack,takealot,good quality product,,good quality product ,['good quality product'],1,good quality product ,[]
does not work on my dolce gusto lumio machine. it might work on the picollo but not sure.,,PLID47901925,10/12/2020,3,2020-06-22,Espresto - Dolce Gusto Adapter Starter Pack,takealot,does not work on my dolce gusto lumio machine it might work on the picollo but not sure,,does not work on my dolce gusto lumio machine. it might work on the picollo but not sure. ,[],-1,does not work on my dolce gusto lumio machine it might work on the picollo but not sure ,[]
this product does exactly what it says it does. the coffee brand is oky and it allows for more options on your dolche gusto machine. do take note that dis adapter does not fit regular nespresso pods,,PLID47901925,10/12/2020,4,2020-06-09,Espresto - Dolce Gusto Adapter Starter Pack,takealot,this product does exactly what it says it does the coffee brand is oky and it allows for more options on your dolche gusto machine do take note that dis adapter does not fit regular nespresso pods,,this product does exactly what it says it does. the coffee brand is oky and it allows for more options on your dolche gusto machine. do take note that dis adapter does not fit regular nespresso pods ,[],1,this product does exactly what it says it does the coffee brand is oky and it allows for more options on your dolche gusto machine do take note that dis adapter does not fit regular nespresso pods ,['allergens']
works perfectly with my dulce gusto. great value,,PLID47901925,10/12/2020,4,2020-06-09,Espresto - Dolce Gusto Adapter Starter Pack,takealot,works perfectly with my dulce gusto great value,,works perfectly with my dulce gusto. great value ,['great value'],1,works perfectly with my dulce gusto great value ,['price']
"does not fit in dolce gusto esperta. have a new machine with a flip-top capsule container, and the converter fits in the container, but the lid does not close, thus does not fit in the machine.",,PLID47901925,10/12/2020,1,2020-06-08,Espresto - Dolce Gusto Adapter Starter Pack,takealot,does not fit in dolce gusto esperta have new machine with fliptop capsule container and the converter fits in the container but the lid does not close thus does not fit in the machine,,"does not fit in dolce gusto esperta. have a new machine with a flip-top capsule container, and the converter fits in the container, but the lid does not close, thus does not fit in the machine. ",[],-1,does not fit in dolce gusto esperta have new machine with fliptop capsule container and the converter fits in the container but the lid does not close thus does not fit in the machine ,['packaging']
very handy to use.,,PLID47901925,10/12/2020,5,2020-06-07,Espresto - Dolce Gusto Adapter Starter Pack,takealot,very handy to use,,very handy to use. ,[],1,very handy to use ,[]
"the product works perfectly fine. does what it says, allows you to use espresto capsules. personally i would just stick with the dolce gusto capsules as they taste great and work out cheaper per a cup of coffee.",,PLID47901925,10/12/2020,3,2020-06-05,Espresto - Dolce Gusto Adapter Starter Pack,takealot,the product works perfectly fine does what it says allows you to use espresto capsules personally would just stick with the dolce gusto capsules as they taste great and work out cheaper per cup of coffee,,"the product works perfectly fine. does what it says, allows you to use espresto capsules. personally i would just stick with the dolce gusto capsules as they taste great and work out cheaper per a cup of coffee. ",[],1,the product works perfectly fine does what it says allows you to use espresto capsules personally would just stick with the dolce gusto capsules as they taste great and work out cheaper per cup of coffee ,"['price', 'taste']"
nice little addition to our coffee corner,,PLID47901925,10/12/2020,4,2020-06-01,Espresto - Dolce Gusto Adapter Starter Pack,takealot,nice little addition to our coffee corner,,nice little addition to our coffee corner ,['nice little addition'],1,nice little addition to our coffee corner ,[]
"very pleased with my purchase, great price. nice to get sample pods along with it to explore new flavour options.",,PLID47901925,10/12/2020,5,2020-06-01,Espresto - Dolce Gusto Adapter Starter Pack,takealot,very pleased with my purchase great price nice to get sample pods along with it to explore new flavour options,,"very pleased with my purchase, great price. nice to get sample pods along with it to explore new flavour options. ",['great price'],1,very pleased with my purchase great price nice to get sample pods along with it to explore new flavour options ,"['price', 'taste']"
works like a charm saves me money to buy a new machine,,PLID47901925,10/12/2020,5,2020-06-01,Espresto - Dolce Gusto Adapter Starter Pack,takealot,works like charm saves me money to buy new machine,,works like a charm saves me money to buy a new machine ,[],1,works like charm saves me money to buy new machine ,['price']
great started pack.,,PLID47901925,10/12/2020,4,2020-06-01,Espresto - Dolce Gusto Adapter Starter Pack,takealot,great started pack,,great started pack. ,[],1,great started pack ,['packaging']
easy to use with your dolce gusto machine. some lovely starter pack flavours to try out.,,PLID47901925,10/12/2020,5,2020-05-31,Espresto - Dolce Gusto Adapter Starter Pack,takealot,easy to use with your dolce gusto machine some lovely starter pack flavours to try out,,easy to use with your dolce gusto machine. some lovely starter pack flavours to try out. ,['lovely starter pack'],1,easy to use with your dolce gusto machine some lovely starter pack flavours to try out ,"['packaging', 'taste']"
excellent idea to use small and big pods,,PLID47901925,10/12/2020,5,2020-05-30,Espresto - Dolce Gusto Adapter Starter Pack,takealot,excellent idea to use small and big pods,,excellent idea to use small and big pods ,['excellent idea'],1,excellent idea to use small and big pods ,[]
way too strong.,,PLID54753846,10/12/2020,3,2020-11-27,Dolce Gusto Capsules Compatible Americano Coffee 40 Value Pack,takealot,way too strong,,way too strong. ,[],-1,way too strong ,[]
have ordered this product many times and each batch has been consistent and superb...definitely rate this better than the original.,,PLID54753846,10/12/2020,5,2020-11-26,Dolce Gusto Capsules Compatible Americano Coffee 40 Value Pack,takealot,have ordered this product many times and each batch has been consistent and superbdefinitely rate this better than the original,,have ordered this product many times and each batch has been consistent and superb...definitely rate this better than the original. ,[],1,have ordered this product many times and each batch has been consistent and superbdefinitely rate this better than the original ,"['delivery', 'price']"
tastes just as great as dolce gusto pods!,,PLID54753846,10/12/2020,4,2019-12-25,Dolce Gusto Capsules Compatible Americano Coffee 40 Value Pack,takealot,tastes just as great as dolce gusto pods,,tastes just as great as dolce gusto pods! ,[],1,tastes just as great as dolce gusto pods ,['taste']
